X,Y,OBJECTID,COUNTY,UNIQUE_ID,MONUMENT_NAME,RANGE,STATE_PLANE_ZONE,EASTING,NORTHING,LONGITUDE,LATITUDE
742492.6168,445620.0069,1,BREVARD,BE R-172,R-172,R,East_Zone,813994.3,1323129.76,-80.5110261,27.97279632
742613.6933,445326.5636,2,BREVARD,BE R-173,R-173,R,East_Zone,814368.8,1322159.76,-80.50987793,27.97012421
742709.9084,445053.3094,3,BREVARD,BE R-174,R-174,R,East_Zone,814663.2,1321257.81,-80.50897712,27.96764014
742835.5968,444846.7419,4,BREVARD,BE R-175,R-175,R,East_Zone,815059.8,1320571.77,-80.50775705,27.9657488
743084.8552,444583.9286,5,BREVARD,BE R-176,R-176,R,East_Zone,815858.05,1319691.83,-80.50529522,27.96331966
743141.3795,444264.3031,6,BREVARD,BE R-177,R-177,R,East_Zone,816018.29,1318641.27,-80.50481202,27.96042831
743354.939,444091.1361,7,BREVARD,BE R-178,R-178,R,East_Zone,816706.37,1318057.56,-80.50268792,27.95881513
743384.8282,443805.4735,8,BREVARD,BE R-179,R-179,R,East_Zone,816781.78,1317120.27,-80.50246614,27.95623627
732244.6676,489044.5286,9,BREVARD,BE R-017,R-017,R,East_Zone,783779.49,1466064.79,-80.60318627,28.36623322
732125.2834,488792.1612,10,BREVARD,BE R-018,R-018,R,East_Zone,783366.99,1465248.29,-80.60447724,28.36399127
743546.6545,443506.6033,11,BREVARD,BE R-180,R-180,R,East_Zone,817289.78,1316129.27,-80.5009051,27.95350483
743795.5384,443246.0575,12,BREVARD,BE R-181,R-181,R,East_Zone,818086.98,1315256.78,-80.49844686,27.95109607
743840.8547,442981.4797,13,BREVARD,BE R-182,R-182,R,East_Zone,818214.78,1314387.27,-80.49806207,27.94870304
743977.8757,442733.0341,14,BREVARD,BE R-183,R-183,R,East_Zone,818645.28,1313563.27,-80.49673916,27.94643176
744136.4458,442449.2128,15,BREVARD,BE R-184,R-184,R,East_Zone,819143.78,1312621.78,-80.4952072,27.94383653
744265.6951,442176.2875,16,BREVARD,BE R-185,R-185,R,East_Zone,819546.78,1311718.28,-80.4939706,27.94134687
744432.5232,441909.4688,17,BREVARD,BE R-186,R-186,R,East_Zone,820073.78,1310831.78,-80.4923498,27.93890254
744584.1814,441723.8483,18,BREVARD,BE R-187,R-187,R,East_Zone,820557.41,1310212.23,-80.49085994,27.93719294
744654.2673,441461.2654,19,BREVARD,BE R-188,R-188,R,East_Zone,820766.78,1309347.28,-80.49022268,27.93481149
744823.3386,441202.2929,20,BREVARD,BE R-189,R-189,R,East_Zone,821301.78,1308486.28,-80.48857696,27.93243716
732164.9841,488494.3461,21,BREVARD,BE R-019,R-019,R,East_Zone,783473.71,1464270.42,-80.60415539,28.3613008
744995.954,440961.3545,22,BREVARD,BE R-190,R-190,R,East_Zone,821849.87,1307684.02,-80.48689,27.93022423
745098.4572,440673.6545,23,BREVARD,BE R-191,R-191,R,East_Zone,822163.78,1306734.29,-80.48593024,27.92760837
745248.8196,440408.2024,24,BREVARD,BE R-192,R-192,R,East_Zone,822636.77,1305853.57,-80.48447699,27.92518047
745430.3111,440142.4492,25,BREVARD,BE R-193,R-193,R,East_Zone,823212.05,1304969.39,-80.48270711,27.92274185
745547.491,439868.2839,26,BREVARD,BE R-194,R-194,R,East_Zone,823575.28,1304062.79,-80.48159422,27.92024401
745694.4063,439600.8325,27,BREVARD,BE R-195,R-195,R,East_Zone,824036.78,1303175.8,-80.48017683,27.91779896
745836.7129,439333.1013,28,BREVARD,BE R-196,R-196,R,East_Zone,824483.11,1302288.26,-80.47880649,27.91535255
745963.953,439044.8625,29,BREVARD,BE R-197,R-197,R,East_Zone,824878.28,1301334.8,-80.47759548,27.91272542
746114.8215,438777.5043,30,BREVARD,BE R-198,R-198,R,East_Zone,825352.78,1300447.8,-80.47613803,27.91028014
746247.482,438533.2312,31,BREVARD,BE R-199,R-199,R,East_Zone,825769.28,1299637.8,-80.4748592,27.90804732
733218.1382,493652.8605,32,BREVARD,BE R-001,R-001,R,East_Zone,787346.47,1481070.24,-80.59193694,28.4074709
733208.8462,493396.4429,33,BREVARD,BE R-002,R-002,R,East_Zone,787295.48,1480231.74,-80.59210438,28.40516521
732053.9144,488197.5346,34,BREVARD,BE R-020,R-020,R,East_Zone,783084.99,1463307.8,-80.60537383,28.35865673
746404.9186,438239.7554,35,BREVARD,BE R-200,R-200,R,East_Zone,826263.28,1298664.8,-80.47334264,27.90536524
746498.6766,438006.8348,36,BREVARD,BE R-201,R-201,R,East_Zone,826552.823,1297895.046,-80.47245645,27.9032446
746754.6713,437787.0291,37,BREVARD,BE R-202,R-202,R,East_Zone,827376.65,1297155.32,-80.46991575,27.90120019
746827.485,437453.1487,38,BREVARD,BE R-203,R-203,R,East_Zone,827589.283,1296056.809,-80.46927218,27.89817619
747046.1269,437291.7666,39,BREVARD,BE R-204,R-204,R,East_Zone,828295.01,1295511.26,-80.46709466,27.89666722
747199.5243,437018.0109,40,BREVARD,BE R-205,R-205,R,East_Zone,828777.31,1294603.12,-80.46561379,27.89416359
747344.4791,436750.2529,41,BREVARD,BE R-206,R-206,R,East_Zone,829232.34,1293715.28,-80.46421714,27.89171611
747497.9699,436485.7974,42,BREVARD,BE R-207,R-207,R,East_Zone,829715.69,1292837.57,-80.46273274,27.88929614
747636.5079,436222.9344,43,BREVARD,BE R-208,R-208,R,East_Zone,830150.02,1291966.26,-80.46140006,27.88689434
747766.8772,435960.4262,44,BREVARD,BE R-209,R-209,R,East_Zone,830557.53,1291096.76,-80.46015044,27.88449784
732025.1961,487882.7434,45,BREVARD,BE R-021,R-021,R,East_Zone,782965.49,1462279.8,-80.60575583,28.35583042
747928.0959,435661.204,46,BREVARD,BE R-210,R-210,R,East_Zone,831063.5,1290104.65,-80.45859777,27.88176289
748068.1135,435384.2944,47,BREVARD,BE R-211,R-211,R,East_Zone,831501.57,1289187.25,-80.45725433,27.87923424
748157.5734,435219.3657,48,BREVARD,BE R-212,R-212,R,East_Zone,831782.42,1288640.36,-80.45639251,27.87772659
748245.7018,435055.1441,49,BREVARD,BE R-213,R-213,R,East_Zone,832058.95,1288095.89,-80.45554405,27.87622564
748393.5266,434788.7396,50,BREVARD,BE R-214,R-214,R,East_Zone,832523.52,1287212.25,-80.45411826,27.8737895
748539.9557,434524.932,51,BREVARD,BE R-215,R-215,R,East_Zone,832983.71,1286337.22,-80.45270597,27.87137707
748674.6477,434247.7071,52,BREVARD,BE R-216,R-216,R,East_Zone,833404.25,1285419.21,-80.45141706,27.8688469
748822.1477,433983.6568,53,BREVARD,BE R-217,R-217,R,East_Zone,833867.94,1284543.3,-80.44999407,27.86643198
748967.3427,433689.1669,54,BREVARD,BE R-218,R-218,R,East_Zone,834321.62,1283567.95,-80.44860351,27.86374366
748981.906,433390.7864,55,BREVARD,BE R-219,R-219,R,East_Zone,834345.63,1282590.25,-80.44854281,27.86105419
732092.2877,487629.7793,56,BREVARD,BE R-022,R-022,R,East_Zone,783165.81,1461446.55,-80.60514149,28.35353686
